event_id,original_timestamp,reward_timestamp,delay_days,immediate_reward,delayed_converted,delayed_reward,total_reward,reward_type
2,2024-01-01T20:20:00,2024-01-05T20:20:00,4,-0.01,0,0.0,-0.01,no_additional_reward
18,2024-01-01T16:59:00,2024-01-06T16:59:00,5,1.0,0,0.0,1.0,no_additional_reward
40,2024-01-02T16:28:00,2024-01-06T16:28:00,4,-0.01,0,0.0,-0.01,no_additional_reward
51,2024-01-03T13:26:00,2024-01-09T13:26:00,6,-0.01,0,0.0,-0.01,no_additional_reward
66,2024-01-04T19:27:00,2024-01-10T19:27:00,6,1.0,0,0.0,1.0,no_additional_reward
81,2024-01-05T10:01:00,2024-01-12T10:01:00,7,-0.01,0,0.0,-0.01,no_additional_reward
82,2024-01-05T13:31:00,2024-01-08T13:31:00,3,-0.01,0,0.0,-0.01,no_additional_reward
134,2024-01-07T21:32:00,2024-01-13T21:32:00,6,-0.01,0,0.0,-0.01,no_additional_reward
136,2024-01-07T10:48:00,2024-01-11T10:48:00,4,-0.01,0,0.0,-0.01,no_additional_reward
146,2024-01-08T13:22:00,2024-01-09T13:22:00,1,-0.01,1,1.0,0.99,delayed_conversion
209,2024-01-11T20:12:00,2024-01-18T20:12:00,7,-0.01,0,0.0,-0.01,no_additional_reward
221,2024-01-12T15:34:00,2024-01-13T15:34:00,1,-0.01,1,1.0,0.99,delayed_conversion
251,2024-01-13T12:28:00,2024-01-17T12:28:00,4,-0.01,0,0.0,-0.01,no_additional_reward
261,2024-01-14T11:27:00,2024-01-20T11:27:00,6,-0.01,0,0.0,-0.01,no_additional_reward
266,2024-01-14T17:43:00,2024-01-19T17:43:00,5,-0.01,0,0.0,-0.01,no_additional_reward
278,2024-01-14T19:52:00,2024-01-20T19:52:00,6,-0.01,0,0.0,-0.01,no_additional_reward
330,2024-01-17T09:51:00,2024-01-24T09:51:00,7,-0.01,0,0.0,-0.01,no_additional_reward
337,2024-01-17T11:23:00,2024-01-23T11:23:00,6,-0.01,0,0.0,-0.01,no_additional_reward
349,2024-01-18T21:33:00,2024-01-19T21:33:00,1,1.0,0,0.0,1.0,no_additional_reward
444,2024-01-23T17:42:00,2024-01-28T17:42:00,5,-0.01,0,0.0,-0.01,no_additional_reward
447,2024-01-23T17:45:00,2024-01-25T17:45:00,2,-0.01,1,1.0,0.99,delayed_conversion
448,2024-01-23T15:17:00,2024-01-27T15:17:00,4,-0.01,0,0.0,-0.01,no_additional_reward
479,2024-01-24T20:29:00,2024-01-25T20:29:00,1,-0.01,0,0.0,-0.01,no_additional_reward
483,2024-01-25T20:29:00,2024-01-31T20:29:00,6,-0.01,0,0.0,-0.01,no_additional_reward
489,2024-01-25T08:07:00,2024-02-01T08:07:00,7,-0.01,0,0.0,-0.01,no_additional_reward
494,2024-01-25T14:28:00,2024-01-29T14:28:00,4,-0.01,0,0.0,-0.01,no_additional_reward
506,2024-01-26T14:20:00,2024-02-02T14:20:00,7,1.0,0,0.0,1.0,no_additional_reward
509,2024-01-26T09:00:00,2024-02-02T09:00:00,7,-0.01,0,0.0,-0.01,no_additional_reward
530,2024-01-27T12:24:00,2024-01-28T12:24:00,1,1.0,0,0.0,1.0,no_additional_reward
