event_id,timestamp,client_age,client_income,client_family,client_education,client_experience,client_securities_account,client_cd_account,client_online,client_credit_card,passed_suitability,suitability_block_reason,arm_shown,offer_shown,decision_type,converted,immediate_reward,delayed_reward_available
1,2024-01-01T14:51:00,54,23,2,1,30,0,0,0,0,False,renda_abaixo_minimo,0,no_offer,blocked,0,0.0,False
2,2024-01-01T20:20:00,31,84,1,3,5,0,0,0,1,True,,1,banner_loan_standard,exploitation,0,-0.01,False
3,2024-01-01T14:10:00,57,80,2,1,33,0,0,1,1,True,,0,no_offer,exploration,0,0.0,False
4,2024-01-01T18:23:00,59,114,3,2,34,0,0,1,0,False,sem_relacionamento_bancario,0,no_offer,blocked,0,0.0,False
5,2024-01-01T12:35:00,37,160,2,1,12,0,0,0,0,False,sem_relacionamento_bancario,0,no_offer,blocked,0,0.0,False
6,2024-01-01T13:52:00,46,158,1,1,20,0,0,1,1,True,,0,no_offer,exploration,0,0.0,False
7,2024-01-01T09:23:00,42,171,2,1,18,0,0,1,0,False,sem_relacionamento_bancario,0,no_offer,blocked,0,0.0,False
8,2024-01-01T19:20:00,42,34,3,3,12,0,0,0,1,True,,1,banner_loan_standard,exploitation,0,-0.01,False
9,2024-01-01T08:11:00,36,70,3,2,12,0,0,1,0,False,sem_relacionamento_bancario,0,no_offer,blocked,0,0.0,False
10,2024-01-01T17:21:00,53,20,3,2,28,0,0,0,0,False,renda_abaixo_minimo,0,no_offer,blocked,0,0.0,False
11,2024-01-01T20:43:00,35,25,2,2,11,0,0,0,0,False,sem_relacionamento_bancario,0,no_offer,blocked,0,0.0,False
12,2024-01-01T18:41:00,61,79,2,1,35,0,0,1,1,True,,0,no_offer,exploration,0,0.0,False
13,2024-01-01T21:46:00,39,89,1,3,13,0,0,1,1,True,,1,banner_loan_standard,exploration,0,-0.01,False
14,2024-01-01T21:50:00,29,195,1,1,5,0,0,0,0,False,sem_relacionamento_bancario,0,no_offer,blocked,0,0.0,False
15,2024-01-01T16:02:00,43,85,4,3,18,0,0,1,1,True,,1,banner_loan_standard,exploitation,0,-0.01,False
16,2024-01-01T12:50:00,42,32,3,1,16,0,0,1,0,False,sem_relacionamento_bancario,0,no_offer,blocked,0,0.0,False
17,2024-01-01T14:20:00,50,38,3,2,24,0,0,1,0,False,sem_relacionamento_bancario,0,no_offer,blocked,0,0.0,False
18,2024-01-01T16:59:00,41,81,4,3,17,1,0,0,0,True,,1,banner_loan_standard,exploitation,1,1.0,False
19,2024-01-01T21:49:00,57,174,1,2,32,0,0,1,0,False,sem_relacionamento_bancario,0,no_offer,blocked,0,0.0,False
