event_id,original_timestamp,reward_timestamp,delay_days,immediate_reward,delayed_converted,delayed_reward,total_reward,reward_type
10,2024-01-01T20:43:00,2024-01-06T20:43:00,5,-0.01,0,0.0,-0.01,no_additional_reward
46,2024-01-03T10:16:00,2024-01-07T10:16:00,4,1.0,0,0.0,1.0,no_additional_reward
48,2024-01-03T19:06:00,2024-01-10T19:06:00,7,-0.01,0,0.0,-0.01,no_additional_reward
53,2024-01-03T19:39:00,2024-01-07T19:39:00,4,-0.01,0,0.0,-0.01,no_additional_reward
116,2024-01-06T16:51:00,2024-01-07T16:51:00,1,-0.01,0,0.0,-0.01,no_additional_reward
117,2024-01-06T21:11:00,2024-01-08T21:11:00,2,-0.01,1,1.0,0.99,delayed_conversion
123,2024-01-07T18:48:00,2024-01-11T18:48:00,4,-0.01,0,0.0,-0.01,no_additional_reward
167,2024-01-09T17:57:00,2024-01-13T17:57:00,4,-0.01,0,0.0,-0.01,no_additional_reward
245,2024-01-13T14:15:00,2024-01-18T14:15:00,5,-0.01,0,0.0,-0.01,no_additional_reward
257,2024-01-13T15:47:00,2024-01-16T15:47:00,3,-0.01,1,1.0,0.99,delayed_conversion
302,2024-01-16T16:34:00,2024-01-22T16:34:00,6,1.0,0,0.0,1.0,no_additional_reward
320,2024-01-16T14:14:00,2024-01-22T14:14:00,6,-0.01,0,0.0,-0.01,no_additional_reward
332,2024-01-17T08:59:00,2024-01-24T08:59:00,7,-0.01,0,0.0,-0.01,no_additional_reward
341,2024-01-18T11:55:00,2024-01-24T11:55:00,6,-0.01,0,0.0,-0.01,no_additional_reward
344,2024-01-18T09:27:00,2024-01-22T09:27:00,4,-0.01,0,0.0,-0.01,no_additional_reward
362,2024-01-19T10:46:00,2024-01-21T10:46:00,2,-0.01,0,0.0,-0.01,no_additional_reward
363,2024-01-19T19:44:00,2024-01-21T19:44:00,2,-0.01,0,0.0,-0.01,no_additional_reward
364,2024-01-19T10:14:00,2024-01-25T10:14:00,6,-0.01,0,0.0,-0.01,no_additional_reward
373,2024-01-19T19:18:00,2024-01-23T19:18:00,4,-0.01,0,0.0,-0.01,no_additional_reward
375,2024-01-19T09:58:00,2024-01-24T09:58:00,5,-0.01,0,0.0,-0.01,no_additional_reward
388,2024-01-20T13:48:00,2024-01-26T13:48:00,6,1.0,0,0.0,1.0,no_additional_reward
410,2024-01-21T08:04:00,2024-01-25T08:04:00,4,-0.01,0,0.0,-0.01,no_additional_reward
420,2024-01-21T12:36:00,2024-01-27T12:36:00,6,-0.01,0,0.0,-0.01,no_additional_reward
439,2024-01-22T11:21:00,2024-01-28T11:21:00,6,-0.01,0,0.0,-0.01,no_additional_reward
444,2024-01-23T20:46:00,2024-01-26T20:46:00,3,-0.01,0,0.0,-0.01,no_additional_reward
451,2024-01-23T17:12:00,2024-01-26T17:12:00,3,-0.01,1,1.0,0.99,delayed_conversion
478,2024-01-24T13:27:00,2024-01-26T13:27:00,2,-0.01,1,1.0,0.99,delayed_conversion
488,2024-01-25T11:00:00,2024-01-30T11:00:00,5,-0.01,0,0.0,-0.01,no_additional_reward
493,2024-01-25T09:06:00,2024-01-29T09:06:00,4,-0.01,0,0.0,-0.01,no_additional_reward
512,2024-01-26T09:00:00,2024-02-01T09:00:00,6,-0.01,0,0.0,-0.01,no_additional_reward
526,2024-01-27T14:08:00,2024-02-02T14:08:00,6,-0.01,0,0.0,-0.01,no_additional_reward
547,2024-01-28T14:46:00,2024-02-04T14:46:00,7,-0.01,0,0.0,-0.01,no_additional_reward
548,2024-01-28T15:32:00,2024-01-31T15:32:00,3,-0.01,0,0.0,-0.01,no_additional_reward
577,2024-01-29T09:58:00,2024-02-04T09:58:00,6,-0.01,0,0.0,-0.01,no_additional_reward
588,2024-01-30T15:48:00,2024-02-03T15:48:00,4,-0.01,0,0.0,-0.01,no_additional_reward
599,2024-01-30T12:00:00,2024-01-31T12:00:00,1,-0.01,1,1.0,0.99,delayed_conversion
656,2024-02-02T17:09:00,2024-02-09T17:09:00,7,-0.01,0,0.0,-0.01,no_additional_reward
665,2024-02-03T16:31:00,2024-02-04T16:31:00,1,1.0,0,0.0,1.0,no_additional_reward
668,2024-02-03T11:19:00,2024-02-08T11:19:00,5,1.0,0,0.0,1.0,no_additional_reward
675,2024-02-03T18:32:00,2024-02-09T18:32:00,6,1.0,0,0.0,1.0,no_additional_reward
681,2024-02-04T14:14:00,2024-02-08T14:14:00,4,-0.01,0,0.0,-0.01,no_additional_reward
691,2024-02-04T18:00:00,2024-02-10T18:00:00,6,-0.01,0,0.0,-0.01,no_additional_reward
695,2024-02-04T18:07:00,2024-02-09T18:07:00,5,-0.01,0,0.0,-0.01,no_additional_reward
712,2024-02-05T09:45:00,2024-02-11T09:45:00,6,-0.01,0,0.0,-0.01,no_additional_reward
736,2024-02-06T13:57:00,2024-02-13T13:57:00,7,-0.01,0,0.0,-0.01,no_additional_reward
746,2024-02-07T12:54:00,2024-02-13T12:54:00,6,-0.01,0,0.0,-0.01,no_additional_reward
771,2024-02-08T15:35:00,2024-02-09T15:35:00,1,-0.01,0,0.0,-0.01,no_additional_reward
850,2024-02-12T12:59:00,2024-02-17T12:59:00,5,-0.01,0,0.0,-0.01,no_additional_reward
866,2024-02-13T20:30:00,2024-02-15T20:30:00,2,-0.01,1,1.0,0.99,delayed_conversion
873,2024-02-13T20:41:00,2024-02-17T20:41:00,4,-0.01,0,0.0,-0.01,no_additional_reward
925,2024-02-16T14:15:00,2024-02-17T14:15:00,1,-0.01,0,0.0,-0.01,no_additional_reward
930,2024-02-16T20:22:00,2024-02-22T20:22:00,6,-0.01,0,0.0,-0.01,no_additional_reward
943,2024-02-17T18:56:00,2024-02-24T18:56:00,7,1.0,0,0.0,1.0,no_additional_reward
954,2024-02-17T13:02:00,2024-02-21T13:02:00,4,-0.01,0,0.0,-0.01,no_additional_reward
968,2024-02-18T11:44:00,2024-02-25T11:44:00,7,-0.01,0,0.0,-0.01,no_additional_reward
976,2024-02-18T10:04:00,2024-02-22T10:04:00,4,-0.01,0,0.0,-0.01,no_additional_reward
1002,2024-02-20T12:17:00,2024-02-21T12:17:00,1,-0.01,0,0.0,-0.01,no_additional_reward
1008,2024-02-20T16:28:00,2024-02-25T16:28:00,5,-0.01,0,0.0,-0.01,no_additional_reward
1015,2024-02-20T19:39:00,2024-02-22T19:39:00,2,1.0,0,0.0,1.0,no_additional_reward
1041,2024-02-22T16:40:00,2024-02-28T16:40:00,6,-0.01,0,0.0,-0.01,no_additional_reward
1097,2024-02-24T10:25:00,2024-02-25T10:25:00,1,-0.01,0,0.0,-0.01,no_additional_reward
1108,2024-02-25T19:59:00,2024-02-28T19:59:00,3,-0.01,0,0.0,-0.01,no_additional_reward
1141,2024-02-27T21:21:00,2024-03-03T21:21:00,5,1.0,0,0.0,1.0,no_additional_reward
1147,2024-02-27T16:20:00,2024-03-02T16:20:00,4,-0.01,1,1.0,0.99,delayed_conversion
1159,2024-02-27T16:06:00,2024-03-05T16:06:00,7,-0.01,0,0.0,-0.01,no_additional_reward
1171,2024-02-28T15:37:00,2024-03-06T15:37:00,7,1.0,0,0.0,1.0,no_additional_reward
1175,2024-02-28T11:25:00,2024-03-01T11:25:00,2,-0.01,0,0.0,-0.01,no_additional_reward
1202,2024-03-01T15:36:00,2024-03-04T15:36:00,3,1.0,0,0.0,1.0,no_additional_reward
1342,2024-03-08T16:56:00,2024-03-09T16:56:00,1,-0.01,0,0.0,-0.01,no_additional_reward
1366,2024-03-09T11:18:00,2024-03-15T11:18:00,6,-0.01,0,0.0,-0.01,no_additional_reward
1424,2024-03-12T19:51:00,2024-03-15T19:51:00,3,-0.01,0,0.0,-0.01,no_additional_reward
1434,2024-03-12T15:18:00,2024-03-15T15:18:00,3,-0.01,0,0.0,-0.01,no_additional_reward
1449,2024-03-13T17:48:00,2024-03-14T17:48:00,1,-0.01,0,0.0,-0.01,no_additional_reward
1538,2024-03-17T14:35:00,2024-03-23T14:35:00,6,-0.01,0,0.0,-0.01,no_additional_reward
1539,2024-03-17T19:43:00,2024-03-19T19:43:00,2,-0.01,0,0.0,-0.01,no_additional_reward
1571,2024-03-19T10:08:00,2024-03-22T10:08:00,3,-0.01,1,1.0,0.99,delayed_conversion
1587,2024-03-20T20:18:00,2024-03-26T20:18:00,6,-0.01,0,0.0,-0.01,no_additional_reward
1624,2024-03-22T18:38:00,2024-03-25T18:38:00,3,-0.01,0,0.0,-0.01,no_additional_reward
1637,2024-03-22T18:33:00,2024-03-25T18:33:00,3,-0.01,0,0.0,-0.01,no_additional_reward
1641,2024-03-23T21:34:00,2024-03-27T21:34:00,4,1.0,0,0.0,1.0,no_additional_reward
1686,2024-03-25T11:27:00,2024-03-29T11:27:00,4,1.0,0,0.0,1.0,no_additional_reward
1755,2024-03-28T17:04:00,2024-03-29T17:04:00,1,1.0,0,0.0,1.0,no_additional_reward
